sex,race,band,q1,q2,q3,q4,q5,q6,q7,q8,q9,n
F,Betsudai,3:00-3:30,1.042,1.002,0.996,1.002,1.003,1.013,1.031,1.066,1.063,425
F,Betsudai,3:30-4:00,1.037,0.998,0.996,1.006,1.008,1.022,1.058,1.095,1.141,46
F,NagoyaWomen,2:08-2:40,0.991,0.992,1.004,1.003,1.005,1.038,1.058,1.084,1.067,103
F,NagoyaWomen,2:40-3:00,0.99,0.987,1.009,1.003,1.004,1.02,1.035,1.052,1.032,206
F,NagoyaWomen,3:00-3:30,1.001,0.986,1.007,1.006,1.008,1.031,1.06,1.075,1.051,1298
F,NagoyaWomen,3:30-4:00,1.033,0.988,1.006,1.005,1.02,1.044,1.097,1.11,1.069,1053
F,NagoyaWomen,4:00-5:00,1.073,0.98,1.005,1.012,1.056,1.097,1.174,1.172,1.1,2864
F,NagoyaWomen,5:00-7:00,1.132,0.954,1.001,1.039,1.155,1.201,1.273,1.235,1.133,3802
F,OsakaMarathon,2:40-3:00,0.998,0.994,0.999,1.006,1.01,1.023,1.033,1.052,1.046,86
F,OsakaMarathon,3:00-3:30,1.054,0.996,0.997,1.005,1.011,1.034,1.055,1.078,1.072,277
F,OsakaMarathon,3:30-4:00,1.107,0.995,0.994,1.007,1.017,1.048,1.074,1.095,1.09,297
F,OsakaMarathon,4:00-5:00,1.13,0.987,0.991,1.017,1.035,1.078,1.126,1.128,1.105,194
F,OsakaMarathon,5:00-7:00,1.075,0.969,0.985,1.039,1.098,1.14,1.222,1.182,1.141,75
F,OsakaWomen,2:08-2:40,1.004,0.991,1.002,1.007,1.009,1.022,1.042,1.074,1.069,89
F,OsakaWomen,2:40-3:00,1.002,0.992,1.004,1.004,1.01,1.01,1.019,1.059,1.044,651
F,OsakaWomen,3:00-3:30,1.002,0.99,1.003,1.006,1.018,1.028,1.054,1.109,1.099,752
M,Betsudai,2:08-2:40,0.999,1.001,0.995,1.002,1.0,1.01,1.033,1.071,1.078,1162
M,Betsudai,2:40-3:00,1.016,1.001,0.996,1.002,1.002,1.011,1.034,1.066,1.065,4217
M,Betsudai,3:00-3:30,1.043,1.0,0.997,1.003,1.007,1.02,1.055,1.098,1.099,7212
M,Betsudai,3:30-4:00,1.048,0.999,0.996,1.004,1.009,1.029,1.071,1.108,1.195,442
M,Fukuoka,2:08-2:40,0.995,0.997,0.998,1.004,1.006,1.021,1.047,1.092,1.098,998
M,OsakaMarathon,2:08-2:40,0.999,0.996,0.999,1.004,1.007,1.029,1.049,1.096,1.103,1245
M,OsakaMarathon,2:40-3:00,1.023,0.996,0.999,1.005,1.007,1.024,1.043,1.076,1.082,1688
M,OsakaMarathon,3:00-3:30,1.047,0.995,0.997,1.006,1.012,1.039,1.069,1.111,1.117,1992
M,OsakaMarathon,3:30-4:00,1.112,0.996,0.994,1.007,1.018,1.05,1.096,1.146,1.139,1109
M,OsakaMarathon,4:00-5:00,1.143,0.99,0.992,1.013,1.035,1.092,1.177,1.22,1.171,859
M,OsakaMarathon,5:00-7:00,1.065,0.961,0.981,1.041,1.112,1.192,1.255,1.244,1.192,351
